path,category,used_by_production_client,reader_status,reason,race_ids,map_race_item_references,packed_native,packed_reference,disposition
NPC/ymir work/npc/doctor/die.gr2,NPC model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,20018,NPC/ymir work/npc/doctor/die.msa:3; share/conf/mob_proto.txt:1070; share/locale/english/map/metin2_map_a1/npc.txt:42; share/locale/english/map/metin2_map_b1/npc.txt:40; share/locale/english/map/metin2_map_c1/npc.txt:40,0,1,BLOCK migration; implement and verify native semantics
PC/ymir work/pc/assassin/assassin.gr2,player model,unknown - no complete active reference chain proved,unsupported curve/type,runtime skeleton: skeleton requires exactly one connected root,,,0,1,unresolved; do not declare unused or safe to remove
PC/ymir work/pc/sura/general/run10.gr2,player animation,unknown - no complete active reference chain proved,unsupported curve/type,periodic or explicit root motion,,,0,1,unresolved; do not declare unused or safe to remove
metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_officer/run.gr2,mob model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3604,metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_officer/run.msa:3; share/conf/mob_proto.txt:457,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_officer/walk.gr2,mob model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3604,metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_officer/walk.msa:3; share/conf/mob_proto.txt:457,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_soldier/run.gr2,mob model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3601,metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_soldier/run.msa:3; share/conf/mob_proto.txt:454,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_soldier/walk.gr2,mob model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3601,metin2_patch_dragon_rock_mobs/ymir work/monster2/crustacean_soldier/walk.msa:3; share/conf/mob_proto.txt:454,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/ent_boss1/normal_attack.gr2,boss model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3901,metin2_patch_dragon_rock_mobs/ymir work/monster2/ent_boss1/normal_attack.msa:3; share/conf/mob_proto.txt:475,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/ent_boss2/run.gr2,boss model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3902,metin2_patch_dragon_rock_mobs/ymir work/monster2/ent_boss2/run.msa:3; share/conf/mob_proto.txt:476,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/ent_boss2/walk.gr2,boss model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3902,metin2_patch_dragon_rock_mobs/ymir work/monster2/ent_boss2/walk.msa:3; share/conf/mob_proto.txt:476,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/manticore_boss2/special_attack.gr2,boss model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3291,metin2_patch_dragon_rock_mobs/ymir work/monster2/manticore_boss2/special_attack.msa:3; share/conf/mob_proto.txt:425,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/ogre_boss2/run.gr2,boss model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3891;6394,metin2_patch_dragon_rock_mobs/ymir work/monster2/ogre_boss2/run.msa:3; share/conf/mob_proto.txt:474,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/ogre_soldier/normal_attack1.gr2,mob model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,3801;6306,metin2_patch_dragon_rock_mobs/ymir work/monster2/ogre_soldier/normal_attack1.msa:3; share/conf/mob_proto.txt:468,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief2_soldier2/redthief2_soldier2_lod_01.gr2,mob model/animation,yes - registered client configuration,malformed,empty mesh vertices,3552,metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief2_soldier2/redthief2_soldier2.msm:3; share/conf/mob_proto.txt:446,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief_general/back_damage.gr2,boss model/animation,yes - registered client configuration,malformed,nonfinite float,3505,metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief_general/back_damage.msa:3; metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief2_general/back_damage.msa:3; share/conf/mob_proto.txt:444,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief_general/front_damage.gr2,boss model/animation,unknown - no complete active reference chain proved,malformed,nonfinite float,3505,metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief_general/front_damage.msa:3; metin2_patch_dragon_rock_mobs/ymir work/monster2/redthief2_general/front_damage.msa:3; share/conf/mob_proto.txt:444,0,1,unresolved; do not declare unused or safe to remove
metin2_patch_easter1/ymir work/pc/warrior/hair/hair_11_1.gr2,player hair,yes - registered client configuration,unsupported curve/type,runtime skeleton: skeleton requires exactly one connected root,,root/msm/warrior_m.msm:181; root/msm/warrior_m.msm:314; root/msm/warrior_m.msm:321; root/msm/warrior_m.msm:328; root/msm/warrior_m.msm:335,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_easter1/ymir work/pc/warrior/warrior_rabbit1_backup.gr2,player model,unknown - no complete active reference chain proved,unsupported curve/type,runtime skeleton: skeleton requires exactly one connected root,,,0,1,unresolved; do not declare unused or safe to remove
metin2_patch_eu4/ymir work/npc2/halloween1/halloween1.gr2,NPC model/animation,yes - registered client configuration,malformed,skeleton: bone names must be nonempty and unique,33008,metin2_patch_eu4/ymir work/npc2/halloween1/halloween1.msm:3; share/conf/mob_proto.txt:1318,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_eu4/ymir work/npc2/halloween1/wait.gr2,NPC model/animation,yes - registered client configuration,malformed,duplicate/empty track target,33008,metin2_patch_eu4/ymir work/npc2/halloween1/wait.msa:3; share/conf/mob_proto.txt:1318,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_eu4/ymir work/npc2/halloween1/wait1.gr2,NPC model/animation,yes - registered client configuration,malformed,duplicate/empty track target,33008,metin2_patch_eu4/ymir work/npc2/halloween1/wait1.msa:3; share/conf/mob_proto.txt:1318,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_eu4/ymir work/npc2/halloween1/walk1.gr2,NPC model/animation,yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,33008,metin2_patch_eu4/ymir work/npc2/halloween1/walk1.msa:3; share/conf/mob_proto.txt:1318,0,1,BLOCK migration; implement and verify native semantics
metin2_patch_xmas/ymir work/npc2/pig_young1/walk.gr2,pet (NPC skeleton),yes - registered client configuration,unsupported curve/type,periodic or explicit root motion,34005,metin2_patch_xmas/ymir work/npc2/pig_young1/walk.msa:3; share/conf/mob_proto.txt:1323,0,1,BLOCK migration; implement and verify native semantics
patch2/ymir work/npc2/historian/historian.gr2,NPC model/animation,yes - registered client configuration,malformed,skeleton: bone names must be nonempty and unique,33002,patch2/ymir work/npc2/historian/historian.msm:3; share/conf/mob_proto.txt:1312,0,1,BLOCK migration; implement and verify native semantics
patch2/ymir work/npc2/historian/run.gr2,NPC model/animation,yes - registered client configuration,malformed,duplicate/empty track target,33002,patch2/ymir work/npc2/historian/run.msa:3; share/conf/mob_proto.txt:1312,0,1,BLOCK migration; implement and verify native semantics
patch2/ymir work/npc2/historian/wait.gr2,NPC model/animation,yes - registered client configuration,malformed,duplicate/empty track target,33002,patch2/ymir work/npc2/historian/wait.msa:3; share/conf/mob_proto.txt:1312,0,1,BLOCK migration; implement and verify native semantics
patch2/ymir work/npc2/historian/wait1.gr2,NPC model/animation,yes - registered client configuration,malformed,duplicate/empty track target,33002,patch2/ymir work/npc2/historian/wait1.msa:3; share/conf/mob_proto.txt:1312,0,1,BLOCK migration; implement and verify native semantics
